date,us_base,us_behavioral,us_adj_total,tw_base,tw_behavioral,tw_adj_total,divergence_base,divergence_behavioral
2014-05-08,58.81516746427112,58.81516746427112,0.0,58.21985416571347,58.21985416571347,0.0,0.5953132985576488,0.5953132985576488
2014-05-09,60.05511813516813,60.076899225842496,0.02178109067436651,57.493799933013086,57.493799933013086,0.0,2.561318202155043,2.5830992928294094
2014-05-12,63.85364027124679,66.27750769567551,2.423867424428721,52.90932727728561,52.90932727728561,0.0,10.944312993961177,13.368180418389898
2014-05-13,62.78135223975744,64.23576450266785,1.4544122629104095,53.54824427427987,53.54824427427987,0.0,9.233107965477572,10.687520228387982
2014-05-14,59.268319641672136,59.268319641672136,0.0,52.29911789774745,52.29911789774745,0.0,6.969201743924685,6.969201743924685
2014-05-15,52.80203033934002,52.80203033934002,0.0,48.368472536016874,48.368472536016874,0.0,4.433557803323147,4.433557803323147
2014-05-16,56.48387950222434,56.48387950222434,0.0,49.864198759180866,49.864198759180866,0.0,6.6196807430434745,6.6196807430434745
2014-05-19,57.3353720497964,57.3353720497964,0.0,50.48629016895659,50.48629016895659,0.0,6.849081880839805,6.849081880839805
2014-05-20,54.11434461673791,54.11434461673791,0.0,48.982232594774565,48.982232594774565,0.0,5.132112021963344,5.132112021963344
2014-05-21,60.66530576594082,60.66530576594082,0.0,48.709863084447626,48.709863084447626,0.0,11.955442681493196,11.955442681493196
2014-05-22,60.82064063044297,60.82064063044297,0.0,53.77038965536819,53.77038965536819,0.0,7.050250975074782,7.050250975074782
2014-05-23,63.32272515730224,64.38213151080335,1.0594063535011102,55.58413088606337,55.58413088606337,0.0,7.738594271238867,8.798000624739977
2014-05-27,62.57694187497939,63.24875819200427,0.6718163170248772,58.35878028297317,58.35878028297317,0.0,4.2181615920062185,4.889977909031096
2014-05-28,61.54990489503477,61.864551279630824,0.31464638459605254,61.10738161405258,61.43449787665147,0.32711626259889215,0.4425232809821935,0.4300534029793539
2014-05-29,61.9488713540394,62.39006866845112,0.44119731441172405,60.62699632203743,60.8648001094011,0.23780378736367425,1.3218750320019694,1.5252685590500192
2014-05-30,62.626125253516115,63.263032330957614,0.6369070774414993,67.95734624689342,72.36965260889157,4.412306361998148,5.331220993377308,9.106620277933956
2014-06-02,63.444524171984696,64.37534806416042,0.9308238921757237,57.24688861745466,57.24688861745466,0.0,6.197635554530038,7.128459446705762
2014-06-03,63.018785571471575,63.75561929997207,0.7368337285004927,62.81222195602229,63.6545191012258,0.84229714520351,0.2065636154492836,0.1011001987462663
2014-06-04,63.53068948903854,64.80297148052162,1.2722819914830836,64.90191022587673,66.10065211417947,1.1987418883027345,1.3712207368381968,1.2976806336578477
2014-06-05,64.24225076808234,65.79990776083335,1.5576569927510064,66.03348936287867,68.28229423373838,2.248804870859715,1.7912385947963259,2.4823864729050342
2014-06-06,66.22314100241813,69.1613693966314,2.9382283942132688,66.7665142321426,69.24314822322886,2.47663399108626,0.543373229724466,0.08177882659745705
2014-06-09,65.33304730121762,67.67189080300598,2.338843501788361,63.72298860089825,64.92369462271212,1.2007060218138719,1.610058700319371,2.74819618029386
2014-06-10,63.047987774047705,64.02771096766213,0.9797231936144257,65.21524813387701,67.84717766781507,2.631929533938063,2.1672603598293065,3.819466700152944
2014-06-11,61.051202510525954,61.3394026542245,0.2882001436985462,64.10598643929447,66.11965744933039,2.013671010035921,3.054783928768515,4.78025479510589
