date,tw_margin_change_20d,tw_margin_zscore,tw_foreign_flow_20d,tw_foreign_flow_zscore
2019-06-21,-0.019863037333549882,-0.8393500419698849,-1539016807.0,1.0427757760816996
2019-06-24,-0.017907954862229514,-0.8248141050468585,12402281415.0,0.8766012642548845
2019-06-25,-0.014601990201840387,-0.8061151956350129,15088651394.0,-0.20051797045255135
2019-06-26,-0.009314635584215858,-0.7865196379850284,20137688420.0,-0.0031652610023949726
2019-06-27,-0.014681000310034276,-0.8016875429707961,40579675531.0,2.1682163919417556
2019-06-28,-0.0170921421989495,-0.7834337664154236,41360160009.0,-0.37856942773491253
2019-07-01,-0.018673447876065175,-0.8188108279061822,46646908105.0,1.1236041768963598
2019-07-02,-0.016280699792114994,-0.7864696599956145,37433972958.0,-0.6905314046733412
2019-07-03,-0.01147093377972297,-0.751210960333779,35250771696.0,-1.1502666420091596
2019-07-04,-0.003720363467640153,-0.6992191778243045,35912789135.0,0.06261681500133388
2019-07-05,-0.0011184714937263474,-0.6848280949804698,38429375902.0,0.06963856386903508
2019-07-08,0.010133220438030444,-0.6472738330467375,23138994066.0,-1.0158338147800934
2019-07-09,0.018400190207247258,-0.6298823572656514,16425403123.0,-0.45621711981175095
2019-07-10,0.01640741995522177,-0.6202412522112031,17720846767.0,0.2061258903815811
2019-07-11,0.009630921895772193,-0.6281452707036645,30160432616.0,0.7595742278527899
2019-07-12,0.013308784354273628,-0.6078885318082957,32742069668.0,-0.06616460481139651
2019-07-15,0.014496678329229518,-0.5895671678859201,37783461311.0,0.13661128829118557
2019-07-16,0.021091014827746557,-0.5608723288841101,35777628640.0,-0.053287607672940045
2019-07-17,0.03481062419861214,-0.5368877670438081,14875594188.0,-0.43321539596815106
2019-07-18,0.04091493174370209,-0.5113530201336667,3705354589.0,-0.6205525230591742
2019-07-19,0.040555753653017,-0.5084335578358711,5366183555.0,1.258549565709366
2019-07-22,0.0436312913981276,-0.47413679249513657,4683915960.0,0.730331695822235
2019-07-23,0.0463524443910166,-0.4361926745508281,6627735787.0,0.004274401661996952
2019-07-24,0.046071156100718325,-0.4142646132435988,8413998509.0,0.19492261047993123
2019-07-25,0.05677339091968481,-0.36957321751227706,-3764144537.0,0.34593861663030034
2019-07-26,0.057664572446946005,-0.3412548828889445,-5943572430.0,-0.7655321641266825
2019-07-29,0.07095165760704081,-0.3054302955777779,-17564863718.0,-0.6490821565060296
2019-07-30,0.05318118112027603,-0.37330836483307284,-9993083947.0,0.41739479749943464
2019-07-31,0.053593442039868044,-0.3260150313514952,-6964986436.0,-0.7352995315143883
2019-08-01,0.052406081866687826,-0.2671513166927319,-22996272184.0,-2.361764833482669
2019-08-02,0.04107093410981477,-0.3219040202410767,-42800169994.0,-2.861406501824168
2019-08-05,0.03349209550852028,-0.32419323150177026,-51334983126.0,-2.224561501195939
2019-08-06,0.020974859089013087,-0.38616540379363,-53897933690.0,-0.7886575319336853
2019-08-07,0.02259426910071527,-0.3633948956365303,-69373396884.0,-2.018692512297821
2019-08-08,0.027094301246275432,-0.34256894098497137,-72441094944.0,0.33765134228392873
2019-08-12,0.025056583028452373,-0.33109979483271634,-75536396222.0,-0.45786439373171595
2019-08-13,0.023646692509591283,-0.31769622509827117,-83882589929.0,-1.023380377351727
2019-08-14,0.02137791320620064,-0.2971759292284658,-86045346393.0,-0.302884601485621
2019-08-15,0.01505631828146825,-0.31293202793652836,-89228380936.0,-0.8108075049475243
2019-08-16,0.014445659179453951,-0.2845031408103327,-95330399140.0,-1.4110597398456375
2019-08-19,0.01956762473300877,-0.2410761645633318,-107201823727.0,-0.4466909075528262
2019-08-20,0.01478691688187972,-0.23250902262404324,-115267440223.0,-0.3879407760648143
2019-08-21,0.01310106290196944,-0.19461929015786425,-117378003871.0,-0.21579353094530027
2019-08-22,0.012275355715777314,-0.17090960936962768,-121768450099.0,-0.3650936645206421
2019-08-23,0.004641722555711381,-0.17433882819722715,-124788487142.0,-0.018450221871960704
2019-08-26,0.0011814444207909336,-0.16562881360134493,-134065000702.0,-1.976483765725985
2019-08-27,0.0011261113969414094,-0.11711652138876448,-138150132409.0,-1.1153377255537145
2019-08-28,0.01589454556768377,-0.07823217243241377,-139485970658.0,0.29213104757450337
2019-08-29,0.012366918310020347,-0.04253616234521187,-136368349332.0,-0.16607907466883978
2019-08-30,0.000261974500801454,-0.0719659663236604,-105366529887.0,2.259602429421311
2019-09-02,0.014870699330038484,-0.009878900753217278,-81892006308.0,0.6553062323996804
2019-09-03,0.021117867171897453,0.049077825303688025,-73568840300.0,-0.9257044833504405
2019-09-04,0.03552685949579426,0.10264933352821062,-62394575871.0,0.8688747932439574
2019-09-05,0.024511409584963673,0.03114011894806417,-29263147314.0,2.733609792408358
2019-09-06,0.025233348907514053,0.07271222157891695,-21790629107.0,1.391153731510843
2019-09-09,0.022085764837675104,0.0608846304358629,-13844878385.0,0.6936512613300113
2019-09-10,0.022145197511611592,0.08564403312606118,-3987424528.0,0.4202457268698979
2019-09-11,0.01974499876080471,0.09508435739029886,5055682010.0,1.0046832196563342
2019-09-12,0.026276999663112255,0.14996564038136284,17620452677.0,1.002414783644179
2019-09-16,0.021968616865016166,0.15101994301858115,37233251393.0,1.3957351489175356
2019-09-17,0.0201479139808598,0.20417431265924815,46269746796.0,0.8374344643793257
2019-09-18,0.017448128152619535,0.19260034158826256,67487324924.0,2.561128882158363
2019-09-19,0.011753464481414566,0.1878923883580551,70715474689.0,0.22025630760417295
2019-09-20,0.009895793670714248,0.2070644120858753,78773604464.0,0.7465974336285929
2019-09-23,0.023214079510642582,0.38843975045656765,81130452046.0,0.2874040915424447
2019-09-24,0.024078370866083,0.4228220542967249,97694830855.0,0.3716535895052509
2019-09-25,0.02216631117857304,0.4842110225903082,103057277171.0,-0.3616185553928408
2019-09-26,0.018048837354163627,0.4959733701785218,100745071717.0,-0.07016043858105966
2019-09-27,0.009504719364600511,0.4326901897380678,104860321508.0,0.3898086348626025
2019-10-01,0.018233236710012868,0.5285720875504328,103704973508.0,2.00109782422147
2019-10-02,0.020756882048111214,0.6891461989184153,101169729699.0,0.25567643120455746
2019-10-03,0.027086233857036568,0.9142138614967463,99626409041.0,-1.1320933062183554
2019-10-04,0.028211666185739226,1.0461492063754037,93322829932.0,-0.04568719261449132
2019-10-07,0.04240784411420995,1.1908996226165416,77064847067.0,0.44656135565149424
2019-10-08,0.0340440470370984,1.1415707933682815,77947945804.0,1.5021452644437157
2019-10-09,0.04181112972661949,1.2996922665479973,66470702891.0,-0.9112386107035472
2019-10-14,0.03421255940002221,1.2313462303915812,79400502130.0,2.201435186844078
2019-10-15,0.041388939794275936,1.4380364896841995,77924108952.0,0.7734660956404638
2019-10-16,0.04324423930511001,1.6426774823378423,80760741190.0,1.3645240713089115
2019-10-17,0.05174716062881357,1.9131344691147343,80695658842.0,1.3490335227031174
2019-10-18,0.05217032994581983,2.121350319928896,81484272244.0,0.9159732996333824
2019-10-21,0.06229451955536236,2.4507622955486044,68327276268.0,0.7162711501953286
2019-10-22,0.06822930724097298,2.670025431242153,81082212866.0,1.9573541877012164
2019-10-23,0.06874525346789251,2.807193500305924,81163994906.0,0.7255737490602743
2019-10-24,0.05731366901300117,2.946514995739213,94381431639.0,2.060431036054702
2019-10-25,0.0561968054749018,2.9237508685176485,95518050409.0,0.48023547395387106
2019-10-28,0.05553570904547467,2.9510520768833,105576278191.0,0.9909291684227812
2019-10-29,0.05448396856809978,2.8611174844183753,113019993745.0,0.9137516808869638
2019-10-30,0.06609079212224755,2.9842328987438043,117794374435.0,0.9926141340516202
2019-10-31,0.05645009282140401,2.80465583279548,110824688622.0,0.9814747123017469
2019-11-01,0.05078413378508251,2.828411760061603,117757840223.0,1.1592606714954536
2019-11-04,0.041712510703432404,2.8428849016623086,140932786098.0,2.0216228418641857
2019-11-05,0.03280282512081678,2.692038412466687,155026079744.0,1.819610520583751
2019-11-06,0.030749492800963285,2.7406963432688616,159007885208.0,0.8704960226321842
2019-11-07,0.03586024559846002,2.6811123930386485,153843605604.0,0.6436682896025657
2019-11-08,0.03389329280446396,2.716479884707294,162556935976.0,0.1419954545707964
2019-11-11,0.032472536700734356,2.458440828259268,151200654476.0,0.4734048543978101
2019-11-12,0.029313285710113934,2.5057683932809285,150944410268.0,0.5901145554497733
2019-11-13,0.029300268533444696,2.596314300404945,135425205573.0,-0.9751751900791747
2019-11-14,0.015588269188405723,2.3758735321930566,130451634456.0,0.534010370200102
2019-11-15,0.009853058903904532,2.2745828492946805,128584541601.0,0.5359853657280617
2019-11-18,0.00265399175696035,2.2356215861972824,126808108715.0,0.34980246319209196
2019-11-19,-0.004061240642985631,2.122965289268779,124003872915.0,1.4973662102650955
2019-11-20,-0.004934151243439766,2.081334675919081,120066156542.0,0.06271626274077327
2019-11-21,-0.006045043180638698,2.0476444535949403,95459323734.0,-1.4775317101626964
2019-11-22,-0.00540608995674241,2.0304034167790252,92008979296.0,-0.09273971770036829
2019-11-25,-0.005567627080123816,2.0472501566995276,86540351830.0,0.1340920724466672
2019-11-26,-0.005591669172598679,1.9753805205326593,80516105812.0,-0.0207357653031629
2019-11-27,-0.009318176699697145,1.986045590941212,76025751519.0,0.2843828046280473
