date,us_spy_vs_high,us_spy_mom_20d,us_spy_drawdown,us_vix,us_vix_inv,us_vix_zscore,us_10y_yield,us_10y_change_20d,us_vix_spy_corr_20d,tw_taiex_vs_high,tw_taiex_mom_20d,tw_taiex_drawdown,tw_volume_surge,tw_tsmc_vs_high,tw_tsmc_mom_20d,tw_realized_vol_20d,tw_drawdown_velocity,tw_tsmc_taiex_spread,fx_usdjpy_mom_20d,cross_us_tw_corr_60d,cross_gold_spy_ratio
2014-11-11,1.0,0.08779992835768713,0.0,12.920000076293945,0.07739938034790216,-0.43769520719751753,2.359999895095825,0.15399980545043945,-0.8772647008468369,0.9440881701149684,0.03030775861780932,-0.05591182988503163,0.9632202477113624,0.9962823564788132,0.10743801794553187,0.15416464338169567,0.004698439653487707,0.07713025932772255,0.07182681746020547,0.2338709492235281,0.6644488519912191
2014-11-12,0.9989225158887507,0.09402999999900885,-0.001077484111249305,13.020000457763672,0.0768049128142474,-0.3962353003211787,2.3589999675750732,0.2690000534057617,-0.8587769330238118,0.9320505552474108,0.03043618214232091,-0.06794944475258924,0.9245924619841092,0.981412476315125,0.08641973938795289,0.15401262627116663,-0.0045614838982588335,0.055983557245631976,0.07834017412798255,0.23577058801219003,0.6619596486441143
2014-11-13,1.0,0.0962039745817378,0.0,13.789999961853027,0.07251631637173879,-0.07610973377152214,2.3469998836517334,0.1939997673034668,-0.8520732643956113,0.9385004365337131,0.040189085719960715,-0.06149956346628693,0.7565649878630476,0.9962823564788132,0.10288063806413494,0.154352740731282,0.00936871254956606,0.06269155234417423,0.09048873404534774,0.24981271206706063,0.6622220854859865
2014-11-14,1.0,0.08367424066036144,0.0,13.3100004196167,0.07513147772153098,-0.27893307512573723,2.319999933242798,0.12100005149841309,-0.8266899274832314,0.9387313835337748,0.05521060328446881,-0.06126861646622517,0.9720181016544679,1.0,0.09311751871350249,0.1425915779573097,0.007342338871604959,0.03790691542903368,0.08852026527248413,0.2412667717629632,0.6786603427974256
2014-11-17,1.0,0.07393605974491435,0.0,13.989999771118164,0.07147962947536732,0.003113912742824593,2.3399999141693115,0.15899991989135742,-0.8427167687980349,0.9284388829839618,0.025539245006264144,-0.07156111701603818,0.9466027925454227,0.9851851925823566,0.05555565614896696,0.13900672307720083,-0.017304696449610857,0.030016411142702815,0.09101775914941346,0.23720709724165462,0.6757402364174683
2014-11-18,1.0,0.05915401667472109,0.0,13.859999656677246,0.07215007393728443,-0.05271957611858322,2.322000026702881,0.11400008201599121,-0.7838794832057201,0.9257930447499358,0.023621042369314615,-0.07420695525006415,1.0799261697232516,0.9740738757729784,0.05199983108911099,0.1395701890802369,-0.018295125365032527,0.028378788719796377,0.0910672502809553,0.2356590680311248,0.6777519278389399
2014-11-19,0.9983945911564804,0.06502706476529152,-0.0016054088435195624,13.960000038146973,0.07163323762660521,-0.011694671971045454,2.3510000705718994,0.12199997901916504,-0.7170422786593669,0.9366789862212509,0.024507295149407415,-0.0633210137787491,1.1126810416025186,1.0,0.05426366684593553,0.14040724401399898,0.004628430973840136,0.029756371696528117,0.09201931611695557,0.23806352396988548,0.6707581737407438
2014-11-20,1.0,0.05463517529867934,0.0,13.579999923706055,0.07363770291738667,-0.17153276023970612,2.3350000381469727,0.059999942779541016,-0.6629318451791939,0.9487625251498017,0.039834686247808504,-0.05123747485019825,1.12471488276546,1.0,0.09019628192944573,0.14568650585718274,0.010262088616088683,0.05036159568163723,0.10266173638857534,0.23504261736483956,0.6765339371761958
2014-11-21,1.0,0.05218152715413393,0.0,12.899999618530273,0.07751938213730988,-0.45751398422623574,2.315000057220459,0.04200005531311035,-0.6763485103445581,0.9500855463202836,0.05152904402599967,-0.049914453679716364,0.9654106759679343,0.9964027113098423,0.10358558395677497,0.13899614052285575,0.011354162786508804,0.0520565399307753,0.09314814635858859,0.23662231646275977,0.6760384900905128
2014-11-24,1.0,0.056586810244521946,0.0,12.619999885559082,0.07923930341269561,-0.5759174520331372,2.309999942779541,0.05299997329711914,-0.685700601783229,0.953304210675099,0.05732067008602115,-0.04669578932490104,0.9472703914187457,0.9964027113098423,0.08203116265277921,0.13791710038834235,0.02486532769113714,0.024710492566758058,0.0881869051412354,0.24431488788783218,0.6725105712594216
