date,us_score,tw_score,divergence
2010-08-06,49.91267291360307,50.61575961592012,0.7030867023170515
2010-08-09,50.51734415509288,54.31939352229157,3.8020493671986912
2010-08-10,49.57875041313003,53.27999566561728,3.7012452524872472
2010-08-11,44.665025363274054,48.5341792525731,3.8691538892990422
2010-08-12,42.735214559770974,45.023775037532054,2.288560477761081
2010-08-13,44.634374968775504,46.919623525132366,2.285248556356862
2010-08-16,43.7970718704726,44.177637524739055,0.38056565426645506
2010-08-17,46.60371293443719,47.8073802893131,1.2036673548759111
2010-08-18,47.10303200590458,48.44465586746952,1.3416238615649405
2010-08-19,42.360128956420056,45.41134433078232,3.0512153743622648
2010-08-20,40.953965516394,42.58916692174084,1.6352014053468409
2010-08-23,39.51943530131582,45.3237881844682,5.804352883152376
2010-08-24,36.14676276159147,43.14501128391639,6.998248522324921
2010-08-25,37.49543342880189,42.44265577713179,4.947222348329902
2010-08-26,36.74489733134678,36.587813077299316,0.1570842540474615
2010-08-27,41.70295026988704,35.70801931242963,5.994930957457413
2010-08-30,36.49229830700541,35.678859358453515,0.813438948551898
2010-08-31,36.8415431488599,36.15668004446483,0.6848631043950704
2010-09-01,42.67436918664061,37.29557423773731,5.378794948903298
2010-09-02,44.636900550409436,40.67419630224852,3.962704248160918
2010-09-03,48.976533744400996,44.56041006792174,4.416123676479259
2010-09-07,44.766674479918635,43.97403549346802,0.792638986450612
2010-09-08,46.79965495303912,43.62957865390681,3.1700762991323117
2010-09-09,49.49206225038252,45.65233433659788,3.8397279137846354
2010-09-10,51.31797288115469,46.47114789811059,4.846824983044101
2010-09-13,54.056766603768565,51.410360004912164,2.6464065988564016
2010-09-14,52.757735799275906,48.802341292041845,3.955394507234061
2010-09-15,51.843036301538646,50.066380670107165,1.7766556314314812
2010-09-16,51.53008001790522,48.08241350326965,3.4476665146355714
2010-09-17,52.20818379902575,50.73953479633959,1.4686490026861563
2010-09-20,55.92335630392872,48.31615519044335,7.607201113485374
2010-09-21,54.92983107067903,48.05707638651883,6.872754684160199
2010-09-22,54.172438412346615,26.110296854364414,28.0621415579822
2010-09-23,51.84814876605435,49.241504085183735,2.606644680870616
2010-09-24,57.911212717328816,48.471108683107175,9.44010403422164
2010-09-27,55.3779266392101,49.62301606588102,5.754910573329084
2010-09-28,55.714324120889934,44.49651022951038,11.217813891379556
2010-09-29,56.061163005422756,52.969264627517155,3.0918983779056006
2010-09-30,53.394570851651395,49.80502219809131,3.5895486535600867
2010-10-01,53.259614429423905,47.20435165731914,6.0552627721047685
2010-10-04,50.26346257979949,51.84349871784791,1.5800361380484205
2010-10-05,55.451319799025896,48.430139186744256,7.02118061228164
2010-10-06,54.43232927453081,53.360697162928844,1.0716321116019643
2010-10-07,54.341349022608824,51.65473556043834,2.6866134621704845
2010-10-08,55.07505111825532,46.917538561286506,8.157512556968811
2010-10-11,51.93797908182195,50.10835632262718,1.8296227591947698
2010-10-12,52.64094869044207,46.76406186975733,5.876886820684746
2010-10-13,52.836455402564184,45.47750308891787,7.358952313646313
2010-10-14,51.835926350908224,49.540676062327485,2.295250288580739
2010-10-15,52.60242292237767,51.866419960282556,0.7360029620951138
2010-10-18,52.83598125007637,47.119242850936885,5.716738399139487
2010-10-19,52.287165045422306,42.787908496262496,9.49925654915981
2010-10-20,54.88108091888832,45.609285721463166,9.271795197425156
2010-10-21,56.20423123879881,49.51841176793185,6.68581947086696
2010-10-22,53.69803644730033,48.17465947541193,5.523376971888403
2010-10-25,51.17617562896057,46.43556127342877,4.740614355531804
2010-10-26,50.88114215730084,46.71818840867528,4.1629537486255614
2010-10-27,50.740254637531976,46.25219885079204,4.488055786739935
2010-10-28,50.03056107548524,48.0464877497373,1.9840733257479357
2010-10-29,49.24375693154625,42.824556967518596,6.419199964027655
2010-11-01,48.79665301983077,46.523309366114816,2.273343653715955
2010-11-02,45.91250354949497,45.884590406664294,0.027913142830676918
2010-11-03,48.041869655521666,49.00442294486553,0.962553289343866
2010-11-04,50.427840783605156,44.453190748594956,5.9746500350102
2010-11-05,50.39672470623157,53.53514485364951,3.138420147417939
2010-11-08,51.98389823791139,49.59253546255029,2.3913627753611024
2010-11-09,51.45259907458393,46.247398123696215,5.205200950887715
2010-11-10,52.16715219773997,48.546026346001746,3.6211258517382277
2010-11-11,50.89142905545452,45.82581362848761,5.0656154269669145
2010-11-12,51.15311056861282,46.01375423258619,5.13935633602663
2010-11-15,50.936163364733254,46.47924829522078,4.456915069512476
2010-11-16,48.810251590492314,45.56978637188258,3.240465218609735
2010-11-17,48.19753864257333,45.1989659569602,2.9985726856131265
2010-11-18,53.57645300901671,45.45411288923778,8.122340119778933
2010-11-19,54.34766334162246,48.45142054547267,5.896242796149785
2010-11-22,54.429147647562296,47.63923572960063,6.789911917961668
2010-11-23,50.676086323708084,48.27033837078517,2.4057479529229155
2010-11-24,54.280860947558764,48.5952703779778,5.685590569580967
2010-11-26,50.99068861388947,50.99325689672177,0.0025682828322999285
2010-11-29,51.83309509868968,52.605815181607134,0.7727200829174521
2010-11-30,48.67128818072672,58.62017308880809,9.948884908081368
2010-12-01,53.90340610305971,63.102081762127725,9.198675659068016
2010-12-02,58.235031819893415,64.04606216972925,5.811030349835839
2010-12-03,57.30932840334276,59.43694827496487,2.127619871622109
2010-12-06,56.37387943506044,57.66692082475843,1.29304138969799
2010-12-07,57.627331660085666,57.39408755193754,0.2332441081481278
2010-12-08,59.3580362506558,58.50489350378162,0.8531427468741839
2010-12-09,59.57653483127056,64.88772517414263,5.311190342872074
2010-12-10,59.89244878924838,62.59474392761439,2.7022951383660114
2010-12-13,60.22741574271672,58.984062543227466,1.2433531994892562
2010-12-14,60.539211463953905,61.74020145353811,1.2009899895842082
2010-12-15,60.420971922728576,62.77184816126894,2.3508762385403656
2010-12-16,62.424557833319874,63.00799791559458,0.5834400822747057
2010-12-17,60.59146254293903,63.86993337058895,3.278470827649926
2010-12-20,60.101521002995206,57.421031222578826,2.68048978041638
2010-12-21,60.43777931937815,55.88595141618705,4.5518279031911035
2010-12-22,60.43913228498703,59.75248289462856,0.6866493903584754
2010-12-23,58.669133208223194,62.357691157167345,3.688557948944151
2010-12-27,55.479154440348694,58.81644108536532,3.3372866450166256
2010-12-28,54.800658714528666,57.36323573726486,2.5625770227361926
2010-12-29,53.36800188296415,65.46290161147863,12.094899728514477
2010-12-30,49.08515167205127,61.982896921190935,12.897745249139668
2010-12-31,46.5523161749529,64.44440131372066,17.89208513876776
2011-01-03,48.09932464904763,66.19548474598253,18.096160096934895
2011-01-04,49.43861896607566,67.22904575754148,17.790426791465826
2011-01-05,50.431735615263975,66.91933569744482,16.487600082180847
2011-01-06,49.71653958061624,60.8391599921227,11.12262041150646
2011-01-07,49.28347774425389,59.208465129616755,9.924987385362869
2011-01-10,48.13477644444727,52.26137316088432,4.126596716437049
2011-01-11,48.87235594323058,55.74674913185546,6.874393188624879
2011-01-12,51.0841033066227,57.80065228294935,6.716548976326649
2011-01-13,51.40447122834972,58.04397954830222,6.639508319952498
2011-01-14,54.10800527455721,54.35095047413902,0.24294519958181127
2011-01-18,55.37533152778021,58.41244673888023,3.0371152111000157
2011-01-19,55.568455881311195,58.38269289168893,2.814237010377738
2011-01-20,56.07345233343225,55.93930534442704,0.1341469890052096
2011-01-21,56.17294283845373,55.59458034393159,0.5783624945221391
2011-01-24,58.64548076672124,53.68931998788344,4.9561607788378055
